case,metric,value,unit,occurrence_time_s,result_source,implementation,run_mode,formal_ashrae_result
695,annual_heating_energy,3.1468381425020553,MWh,,Modelica,modelica,native,True
695,annual_cooling_energy,9.323000084803914,MWh,,Modelica,modelica,native,True
695,peak_heating_load,2.271682020272149,kW,31536000.0,Modelica,modelica,native,True
695,peak_cooling_load,6.828656171056231,kW,1864800.0,Modelica,modelica,native,True
695,annual_heating_energy,3.6134319715443057,MWh,,RClib,iso13790,native,True
695,annual_cooling_energy,3.4296141128502464,MWh,,RClib,iso13790,native,True
695,peak_heating_load,2.2839527645380486,kW,31536000.0,RClib,iso13790,native,True
695,peak_cooling_load,2.7778003158323052,kW,23734800.0,RClib,iso13790,native,True
695,annual_heating_energy,3.074242937332716,MWh,,RClib,iso13790,diagnostic_modelica_solar,False
695,annual_cooling_energy,9.26598506032459,MWh,,RClib,iso13790,diagnostic_modelica_solar,False
695,peak_heating_load,2.3289047843410198,kW,31536000.0,RClib,iso13790,diagnostic_modelica_solar,False
695,peak_cooling_load,6.752606960440055,kW,1864800.0,RClib,iso13790,diagnostic_modelica_solar,False
