timestamp_s,outdoor_temperature_C,direct_normal_W_m2,diffuse_horizontal_W_m2,global_horizontal_W_m2,solar_altitude_deg,solar_azimuth_deg,south_window_direct_W_m2,south_window_diffuse_W_m2,window_solar_gain_W,wall_solar_gain_W,roof_solar_gain_W,opaque_solar_gain_W,total_zone_solar_gain_W
3600.0,-18.0,0.0,0.0,0.0,-3.4902322882185057,-62.66980451134011,0.0,0.0,-36.828,-33.370920000000005,-31.363200000000006,-64.73412000000002,-101.56212000000002
7200.0,-16.6,0.0,0.0,0.0,-14.098014980235448,-71.61619711996836,0.0,0.0,-36.828,-33.370920000000005,-31.363200000000006,-64.73412000000002,-101.56212000000002
10800.0,-15.3,0.0,0.0,0.0,-25.261373995298158,-80.25285810408342,0.0,0.0,-36.828,-33.370920000000005,-31.363200000000006,-64.73412000000002,-101.56212000000002
14400.0,-14.4,0.0,0.0,0.0,-36.719390938350685,-89.25923751279933,0.0,0.0,-36.828,-33.370920000000005,-31.363200000000006,-64.73412000000002,-101.56212000000002
18000.0,-13.0,0.0,0.0,0.0,-48.19024409053116,260.2732433771632,0.0,0.0,-36.828,-33.370920000000005,-31.363200000000006,-64.73412000000002,-101.56212000000002
21600.0,-11.1,0.0,0.0,0.0,-59.21532403645772,246.08335768242944,0.0,0.0,-36.828,-33.370920000000005,-31.363200000000006,-64.73412000000002,-101.56212000000002
25200.0,-9.7,0.0,0.0,0.0,-68.64602405135027,222.6649110941148,0.0,0.0,-36.828,-33.370920000000005,-31.363200000000006,-64.73412000000002,-101.56212000000002
28800.0,-7.7,17.0,8.0,9.0,-73.17514871487286,181.75468101195216,0.0,4.0,0.047087999999995134,-28.752593967147497,-28.321920000000006,-57.0745139671475,-57.02742596714751
32400.0,-5.9,73.0,77.0,89.0,-69.20744175395338,139.68927842940647,0.0,38.5,318.09472199999993,6.659113443089413,-2.0908800000000056,4.568233443089407,322.66295544308934
36000.0,-2.2,494.0,115.0,266.0,-59.985985296112844,115.2240109447991,0.0,57.5,493.25139,88.14321295946826,12.355199999999996,100.49841295946825,593.7498029594683
39600.0,1.4,544.0,139.0,357.0,-49.02432164214475,100.60320909154056,0.0,69.5,603.876654,113.14087989328863,21.47903999999999,134.61991989328862,738.4965738932887
43200.0,2.8,540.0,187.0,430.0,-37.566748240206465,89.96165055993697,0.28648908785918936,93.5,827.7682595814618,130.5058648600904,39.72672,170.2325848600904,998.0008444415523
46800.0,4.4,384.0,189.0,362.0,-26.097307385703612,80.89289847075734,54.583097119337616,94.5,1337.5350813970304,119.90956979452672,40.48703999999999,160.3966097945267,1497.931691191557
50400.0,3.3,524.0,130.0,342.0,-14.903625039982069,72.25501482956776,154.33269825372696,65.0,1985.1501373459068,137.4401019207711,18.057599999999994,155.49770192077108,2140.6478392666777
54000.0,3.9,312.0,154.0,252.0,-4.2453219029492395,63.35058135864595,139.5574386733283,77.0,1959.565652033396,103.26752398273771,27.181439999999995,130.44896398273772,2090.014616016134
57600.0,2.2,369.0,62.0,131.0,5.573415566074343,53.64053407674261,217.72721749414563,31.0,2256.1315082729398,79.2395699771334,5.830777167181061,85.07034714431447,2341.201855417254
61200.0,-0.6,114.0,11.0,18.0,14.15743702121981,42.660920672771525,81.28674202830977,5.5,763.2391873818053,-3.5598116807206335,-16.581463301676038,-20.141274982396673,743.0979123994086
64800.0,-2.2,0.0,0.0,0.0,20.997147486891485,30.07569719795572,0.0,0.0,-36.828,-33.370920000000005,-31.363200000000006,-64.73412000000002,-101.56212000000002
68400.0,-5.0,0.0,0.0,0.0,25.503946542279007,15.867664728804495,0.0,0.0,-36.828,-33.370920000000005,-31.363200000000006,-64.73412000000002,-101.56212000000002
72000.0,-5.6,0.0,0.0,0.0,27.15625305008256,0.5707305718090063,0.0,0.0,-36.828,-33.370920000000005,-31.363200000000006,-64.73412000000002,-101.56212000000002
75600.0,-6.1,0.0,0.0,0.0,25.727813289947065,-14.769029958474535,0.0,0.0,-36.828,-33.370920000000005,-31.363200000000006,-64.73412000000002,-101.56212000000002
79200.0,-6.1,0.0,0.0,0.0,21.415443761535013,-29.08298085844302,0.0,0.0,-36.828,-33.370920000000005,-31.363200000000006,-64.73412000000002,-101.56212000000002
82800.0,-6.1,0.0,0.0,0.0,14.726936578727695,-41.7925397220544,0.0,0.0,-36.828,-33.370920000000005,-31.363200000000006,-64.73412000000002,-101.56212000000002
86400.0,-5.0,0.0,0.0,0.0,6.25248043967849,-52.88125949630029,0.0,0.0,-36.828,-33.370920000000005,-31.363200000000006,-64.73412000000002,-101.56212000000002
90000.0,-5.0,0.0,0.0,0.0,-3.359580034381566,-62.660817620673306,0.0,0.0,-36.828,-33.370920000000005,-31.363200000000006,-64.73412000000002,-101.56212000000002
93600.0,-5.6,0.0,0.0,0.0,-13.967061997946528,-71.6175814852715,0.0,0.0,-36.828,-33.370920000000005,-31.363200000000006,-64.73412000000002,-101.56212000000002
97200.0,-5.0,0.0,0.0,0.0,-25.13066554613755,-80.26182198276305,0.0,0.0,-36.828,-33.370920000000005,-31.363200000000006,-64.73412000000002,-101.56212000000002
100800.0,-6.7,0.0,0.0,0.0,-36.588885289281244,-89.27282155218738,0.0,0.0,-36.828,-33.370920000000005,-31.363200000000006,-64.73412000000002,-101.56212000000002
104400.0,-5.6,0.0,0.0,0.0,-48.05953598603594,260.2610838693114,0.0,0.0,-36.828,-33.370920000000005,-31.363200000000006,-64.73412000000002,-101.56212000000002
108000.0,-6.1,0.0,0.0,0.0,-59.08444845001239,246.09251865919555,0.0,0.0,-36.828,-33.370920000000005,-31.363200000000006,-64.73412000000002,-101.56212000000002
111600.0,-4.4,0.0,0.0,0.0,-68.52097510222899,222.7714459174785,0.0,0.0,-36.828,-33.370920000000005,-31.363200000000006,-64.73412000000002,-101.56212000000002
115200.0,-2.8,63.0,12.0,15.0,-73.09120176943372,182.10111130085988,0.0,6.0,18.48463199999999,-23.347503044776534,-26.801280000000006,-50.148783044776536,-31.664151044776546
118800.0,-1.7,118.0,64.0,85.0,-69.19434028087139,140.0562338047981,0.0,32.0,258.17270399999995,6.890891790295371,-7.032960000000006,-0.14206820970463507,258.0306357902953
