experiment,one_change,reason,annual_heating_MWh,annual_cooling_MWh,delta_heating_MWh,delta_cooling_MWh,formal_promoted
baseline_native,none,formal native Case 600 baseline,5.502373200951481,1.4137715658587533,0.0,0.0,True
air_heat_capacity_1206,H_ve uses 1206 rather than 1200 J/(m3 K),quantify the documented volumetric-air-heat-capacity convention only,5.509940574553988,1.413365907443487,0.007567373602507033,-0.00040565841526629676,False
