metric,unit,ISO_native,ISO_modelica_solar,Modelica_native,change_due_to_solar,change_due_to_solar_percent_of_native,remaining_difference_to_modelica,remaining_difference_to_modelica_percent,native_difference_to_modelica,native_difference_to_modelica_percent,ashrae_lower,ashrae_upper,native_status,diagnostic_status,modelica_native_status,ISO_native_peak_time_s,ISO_native_peak_timestamp,ISO_modelica_solar_peak_time_s,ISO_modelica_solar_peak_timestamp,Modelica_native_peak_time_s,Modelica_native_peak_timestamp
annual_heating_energy,MWh,5.502373200951481,4.582235662795553,4.657996766471248,-0.9201375381559274,-16.72255778646231,-0.07576110367569466,-1.6264739430699282,0.8443764344802327,18.127458579579603,3.75,4.98,FAIL,DIAGNOSTIC_NOT_FORMAL,PASS,,,,,,
annual_cooling_energy,MWh,1.4137715658587533,5.72773729269961,5.802665956514086,4.313965726840856,305.138809622364,-0.07492866381447616,-1.291279980202222,-4.388894390655333,-75.63582711026731,5.0,6.83,FAIL,DIAGNOSTIC_NOT_FORMAL,PASS,,,,,,
peak_heating_load,kW,3.261999304991304,3.3165136551653034,3.232528636505339,0.054514350173999304,1.6711944141307729,0.08398501865996444,2.5981214121821354,0.029470668485965135,0.9116908711387516,,,NOT_ASSESSED,DIAGNOSTIC_NOT_FORMAL,NOT_ASSESSED,31536000.0,1996-01-01 00:00:00,31536000.0,1996-01-01 00:00:00,31536000.0,1996-01-01 00:00:00
peak_cooling_load,kW,2.3832484042597755,5.516232857786272,5.570011178989411,3.1329844535264963,131.45857762567496,-0.05377832120313908,-0.9654975452472304,-3.1867627747296354,-57.21286138078851,,,NOT_ASSESSED,DIAGNOSTIC_NOT_FORMAL,NOT_ASSESSED,21837600.0,1995-09-10 18:00:00,1864800.0,1995-01-22 14:00:00,1864800.0,1995-01-22 14:00:00
