case_name,topology,airflow_ach,IW_area_m2,solar_source,heating_MWh,cooling_MWh,total_HVAC_MWh,heating_EUI_kWh_m2yr,cooling_EUI_kWh_m2yr,total_EUI_kWh_m2yr,peak_heating_kW,peak_cooling_kW,heating_hours,cooling_hours,annual_solar_MWh,heating_pass,cooling_pass,combined_pass,max_abs_heat_balance_residual_W
Modelica native comparator,"Modelica detailed Case600FF, nConPar=0",0.414,0.0,Modelica native surface-resolved solar,4.657996766471248,5.802665956514086,10.460662722985333,97.04159930148433,120.88887409404346,217.93047339552777,3.232528636505339,5.570011178989411,,,12.112388823424308,PASS,PASS,PASS,
Current 96 m2 IW + 0.414 ACH altitude + Modelica solar,current AW + IW,0.414,96.0,Modelica aggregate controlled solar,3.617693503127965,3.7000260133341096,7.317719516462075,75.36861464849927,77.08387527779395,152.45248992629323,3.8915544261584656,5.67614326970928,2595.0,1913.0,12.112388823424308,FAIL,FAIL,FAIL,9.094947017729282e-13
New no-IW + 0.414 ACH altitude + Modelica solar,AW-only no IW,0.414,0.0,Modelica aggregate controlled solar,6.588336909187887,6.355812680593659,12.944149589781546,137.25701894141432,132.41276417903455,269.66978312044887,4.189752291991944,6.768289081948122,4232.0,2459.0,12.112388823424308,FAIL,PASS,FAIL,4.547473508864641e-13
Current 96 m2 IW + 0.5 ACH + Modelica solar,current AW + IW,0.5,96.0,Modelica aggregate controlled solar,3.89472683798609,3.606351508199298,7.501078346185388,81.14014245804354,75.13232308748537,156.27246554552892,4.031647633016314,5.6638768480130155,2675.0,1876.0,12.112388823424308,PASS,FAIL,FAIL,9.094947017729282e-13
New no-IW + 0.5 ACH + Modelica solar,AW-only no IW,0.5,0.0,Modelica aggregate controlled solar,6.9099056917558705,6.258845653523348,13.168751345279219,143.95636857824732,130.39261778173642,274.3489863599837,4.358983800903129,6.74144762520835,4281.0,2425.0,12.112388823424308,FAIL,PASS,FAIL,4.547473508864641e-13
Current 96 m2 IW + 0.414 ACH altitude + VDI native solar,current AW + IW,0.414,96.0,VDI native solar,3.4393486995589893,4.479598886813769,7.9189475863727585,71.65309790747894,93.32497680862019,164.97807471609914,3.7991245560200646,5.819455226088277,2503.0,2050.0,11.75195606191515,FAIL,FAIL,FAIL,9.094947017729282e-13
New no-IW + 0.414 ACH altitude + VDI native solar,AW-only no IW,0.414,0.0,VDI native solar,6.299610975119929,7.067426737350774,13.367037712470704,131.24189531499852,147.23805702814113,278.4799523431397,4.1079113549391755,6.59462482168472,4128.0,2524.0,11.75195606191515,FAIL,FAIL,FAIL,4.547473508864641e-13
Current 96 m2 IW + 0.5 ACH + VDI native solar,current AW + IW,0.5,96.0,VDI native solar,3.712357718433792,4.380508138017126,8.092865856450917,77.340785800704,91.26058620869013,168.6013720093941,3.952718071488943,5.828378332676415,2603.0,1999.0,11.75195606191515,FAIL,FAIL,FAIL,9.094947017729282e-13
New no-IW + 0.5 ACH + VDI native solar,AW-only no IW,0.5,0.0,VDI native solar,6.619912485245203,6.969912429875943,13.589824915121145,137.9148434426084,145.2065089557488,283.1213523983572,4.277275756810153,6.544169043430784,4178.0,2490.0,11.75195606191515,FAIL,FAIL,FAIL,4.547473508864641e-13
