topology,AW_area_m2,IW_area_m2,total_receiving_area_m2,AW_weight,IW_weight,injection
96 m2 IW,171.6,96.0,267.6,0.6412556053811659,0.35874439461883406,internal_radiant_gain_w
no-IW,171.6,0.0,171.6,1.0,0.0,internal_radiant_gain_w
