component,boundary_kind,area_m2,prescribed_U_W_m2K,layer_only_R_m2K_W,inside_film_R_m2K_W,outside_film_R_m2K_W,total_R_layers_plus_films_m2K_W,component_U_used_by_VDI_W_m2K,U_from_layers_plus_films_W_m2K,relative_difference_used_vs_prescribed,film_double_counting_check
north wall,exterior,21.6,0.53,1.7892857142857144,0.125,0.04,1.9542857142857144,0.53,0.5116959064327485,0.0,"component U equals prescribed; films also enter exterior LW/SW equivalent-temperature corrections, not the conductance weight"
east wall,exterior,16.2,0.53,1.7892857142857144,0.125,0.04,1.9542857142857144,0.53,0.5116959064327485,0.0,"component U equals prescribed; films also enter exterior LW/SW equivalent-temperature corrections, not the conductance weight"
south wall,exterior,9.6,0.53,1.7892857142857144,0.125,0.04,1.9542857142857144,0.53,0.5116959064327485,0.0,"component U equals prescribed; films also enter exterior LW/SW equivalent-temperature corrections, not the conductance weight"
west wall,exterior,16.2,0.53,1.7892857142857144,0.125,0.04,1.9542857142857144,0.53,0.5116959064327485,0.0,"component U equals prescribed; films also enter exterior LW/SW equivalent-temperature corrections, not the conductance weight"
roof,exterior,48.0,0.33,2.9932142857142856,0.125,0.04,3.1582142857142856,0.33,0.3166346262580572,0.0,"component U equals prescribed; films also enter exterior LW/SW equivalent-temperature corrections, not the conductance weight"
floor,exterior,48.0,0.038,25.253571428571423,0.125,0.04,25.418571428571422,0.038,0.039341313999887606,0.0,"component U equals prescribed; films also enter exterior LW/SW equivalent-temperature corrections, not the conductance weight"
south windows,exterior,12.0,3.1,,0.125,0.04,0.3225806451612903,3.1,3.1,0.0,baseline U is used directly for transparent conductance; inside/outside coefficients remain available for boundary logic
