case_name,topology,airflow_ach,oat_source,solar_source,heating_MWh,cooling_MWh,total_HVAC_MWh,heating_EUI_kWh_m2yr,cooling_EUI_kWh_m2yr,total_EUI_kWh_m2yr,peak_heating_kW,peak_cooling_kW,heating_hours,cooling_hours,annual_solar_MWh,heating_pass,cooling_pass,combined_pass,max_abs_heat_balance_residual_W
Modelica native comparator,"Modelica detailed Case600, nConPar=0",0.414,Modelica weaBus.TDryBul from Denver TMY3 .mos,Modelica native surface-resolved solar,4.657996766471248,5.802665956514086,10.460662722985333,97.04159930148433,120.88887409404346,217.93047339552777,3.232528636505339,5.570011178989411,,,12.112388823424308,PASS,PASS,PASS,
"current AW + 96 m2 IW, 0.414 ACH, Modelica aggregate controlled solar, VDI EPW, native exterior LW",current AW + 96 m2 IW,0.414,VDI EPW,Modelica aggregate controlled solar,3.617693503127965,3.7000260133341096,7.317719516462075,75.36861464849927,77.08387527779395,152.45248992629323,3.8915544261584656,5.67614326970928,2595.0,1913.0,12.112388823424308,FAIL,FAIL,FAIL,9.094947017729282e-13
"current AW + 96 m2 IW, 0.5 ACH, Modelica aggregate controlled solar, VDI EPW, native exterior LW",current AW + 96 m2 IW,0.5,VDI EPW,Modelica aggregate controlled solar,3.89472683798609,3.606351508199298,7.501078346185388,81.14014245804354,75.13232308748537,156.27246554552892,4.031647633016314,5.6638768480130155,2675.0,1876.0,12.112388823424308,PASS,FAIL,FAIL,9.094947017729282e-13
"AW-only no IW, 0.414 ACH, Modelica aggregate controlled solar, VDI EPW, native exterior LW",AW-only no IW,0.414,VDI EPW,Modelica aggregate controlled solar,6.588336909187887,6.355812680593659,12.944149589781546,137.25701894141432,132.41276417903455,269.66978312044887,4.189752291991944,6.768289081948122,4232.0,2459.0,12.112388823424308,FAIL,PASS,FAIL,4.547473508864641e-13
"AW-only no IW, 0.5 ACH, Modelica aggregate controlled solar, VDI EPW, native exterior LW",AW-only no IW,0.5,VDI EPW,Modelica aggregate controlled solar,6.9099056917558705,6.258845653523348,13.168751345279219,143.95636857824732,130.39261778173642,274.3489863599837,4.358983800903129,6.74144762520835,4281.0,2425.0,12.112388823424308,FAIL,PASS,FAIL,4.547473508864641e-13
"AW-only no IW, 0.414 ACH, Modelica aggregate controlled solar, Modelica exported OAT, native exterior LW",AW-only no IW,0.414,Modelica exported OAT,Modelica aggregate controlled solar,6.588418439558773,6.355812680593667,12.944231120152441,137.25871749080778,132.41276417903472,269.67148166984254,4.271282662889359,6.768289081948123,4232.0,2459.0,12.112388823424308,FAIL,PASS,FAIL,4.547473508864641e-13
"AW-only no IW, 0.5 ACH, Modelica aggregate controlled solar, Modelica exported OAT, native exterior LW",AW-only no IW,0.5,Modelica exported OAT,Modelica aggregate controlled solar,6.909996008947513,6.258845653523355,13.168841662470868,143.95825018640653,130.39261778173656,274.35086796814306,4.449300992555074,6.741447625208351,4281.0,2425.0,12.112388823424308,FAIL,PASS,FAIL,4.547473508864641e-13
"AW-only no IW, 0.414 ACH, Modelica aggregate controlled solar, VDI EPW, LW disabled",AW-only no IW,0.414,VDI EPW,Modelica aggregate controlled solar,5.988031420343336,6.842889009151025,12.83092042949436,124.75065459048615,142.56018769064636,267.3108422811325,3.95032902912876,6.972099879932177,4021.0,2568.0,12.112388823424308,FAIL,FAIL,FAIL,4.547473508864641e-13
