run,topology,source_allocation,envelope,inside_h,longwave,internal_gain,annual_solar_MWh,heating_EUI,cooling_EUI,heating_in_range,cooling_in_range,both_in_range,d_heating_EUI,d_cooling_EUI,D_EUI,D_EUI_norm
F19,IW,Modelica-fractions,layer-controlled,8.0,harmonised,all-air,12.112388823424306,50.3347790070326,69.8594344319917,False,False,False,27.7902209929674,34.30723223467497,44.15068024891448,1.409213900010506
F30,IW,Modelica-fractions,U-controlled,9.1,explicit-VDI,Modelica-split,12.112388823424306,34.67254244625846,41.308402286714916,False,False,False,43.45245755374154,62.858264379951756,76.41516517236367,2.3651143232983025
F29,IW,Modelica-fractions,U-controlled,9.1,explicit-VDI,all-air,12.112388823424306,34.611273685856766,41.36449204661397,False,False,False,43.513726314143234,62.8021746200527,76.40391033677369,2.3658045455100556
F14,IW,VDI-area,U-controlled,9.1,explicit-VDI,Modelica-split,12.112388823424306,36.10243490403651,38.86604106007967,False,False,False,42.02256509596349,65.300625606587,77.65351042841615,2.3712830845981787
F13,IW,VDI-area,U-controlled,9.1,explicit-VDI,all-air,12.112388823424306,36.039753428987844,38.92093701023884,False,False,False,42.085246571012156,65.24572965642784,77.64131128041667,2.3719362930682935
F61,no-IW,Modelica-fractions,U-controlled,9.1,explicit-VDI,all-air,12.112388823424306,48.95213500914857,24.119621882280768,False,False,False,29.17286499085143,80.0470447843859,85.19733229677985,2.388383009537851
F26,IW,Modelica-fractions,U-controlled,8.0,explicit-VDI,Modelica-split,12.112388823424306,34.8840538368662,39.410462149240736,False,False,False,43.2409461631338,64.75620451742594,77.86620222269565,2.3942586514328066
F25,IW,Modelica-fractions,U-controlled,8.0,explicit-VDI,all-air,12.112388823424306,34.81723379977428,39.47074145815482,False,False,False,43.30776620022572,64.69592520851185,77.85322955304278,2.394976652372322
F45,no-IW,VDI-area,U-controlled,9.1,explicit-VDI,all-air,12.112388823424306,49.2057275994209,23.561199398661284,False,False,False,28.919272400579104,80.60546726800538,85.63624039898286,2.396593223056794
F10,IW,VDI-area,U-controlled,8.0,explicit-VDI,Modelica-split,12.112388823424306,36.58096056489092,36.8397783034032,False,False,False,41.54403943510908,67.32688836326346,79.11268614618795,2.397284477438072
F09,IW,VDI-area,U-controlled,8.0,explicit-VDI,all-air,12.112388823424306,36.51250397828405,36.898387383691265,False,False,False,41.61249602171595,67.26827928297541,79.09880670939167,2.39796058707772
F57,no-IW,Modelica-fractions,U-controlled,8.0,explicit-VDI,all-air,12.112388823424306,52.265016803344686,20.38919569529845,False,False,False,25.859983196655314,83.77747097136822,87.6778385527936,2.4180932523568335
F62,no-IW,Modelica-fractions,U-controlled,9.1,explicit-VDI,Modelica-split,12.112388823424306,41.13051895338729,29.956249424875498,False,False,False,36.99448104661271,74.21041724179118,82.92030906303307,2.4234490478797737
F41,no-IW,VDI-area,U-controlled,8.0,explicit-VDI,all-air,12.112388823424306,52.748802007912815,19.723219079126206,False,False,False,25.376197992087185,84.44344758754046,88.17396024339217,2.4262115184178352
F46,no-IW,VDI-area,U-controlled,9.1,explicit-VDI,Modelica-split,12.112388823424306,41.330100330136,29.362250397014844,False,False,False,36.794899669864,74.80441626965182,83.36405301542571,2.4313729586949693
F58,no-IW,Modelica-fractions,U-controlled,8.0,explicit-VDI,Modelica-split,12.112388823424306,44.88449798398596,25.441161105527218,False,False,False,33.24050201601404,78.72550556113946,85.45546325504083,2.4385741693613676
F42,no-IW,VDI-area,U-controlled,8.0,explicit-VDI,Modelica-split,12.112388823424306,45.29881452764687,24.737899212736668,False,False,False,32.82618547235313,79.42876745393,85.94467727506932,2.4457062115884973
F63,no-IW,Modelica-fractions,U-controlled,9.1,harmonised,all-air,12.112388823424306,37.95364787946737,30.779841122662493,False,False,False,40.17135212053263,73.38682554400418,83.66219991500299,2.4825001730807865
F47,no-IW,VDI-area,U-controlled,9.1,harmonised,all-air,12.112388823424306,38.13214649807805,30.183142559912188,False,False,False,39.99285350192195,73.98352410675449,84.10107116131705,2.49028395889441
F59,no-IW,Modelica-fractions,U-controlled,8.0,harmonised,all-air,12.112388823424306,41.22201769499852,26.47064624315219,False,False,False,36.90298230500148,77.69602042351448,86.01454349500689,2.4954132678993326
F43,no-IW,VDI-area,U-controlled,8.0,harmonised,all-air,12.112388823424306,41.588141360861826,25.758415256099465,False,False,False,36.536858639138174,78.4082514105672,86.50315559838889,2.5025250151794722
F32,IW,Modelica-fractions,U-controlled,9.1,harmonised,Modelica-split,12.112388823424306,24.394383103871135,49.897488679111284,False,False,False,53.730616896128865,54.26917798755539,76.36833683853234,2.534326385886976
F31,IW,Modelica-fractions,U-controlled,9.1,harmonised,all-air,12.112388823424306,24.34007858016187,49.95785595347763,False,False,False,53.78492141983813,54.20881071318904,76.363688563849,2.5351916148323212
F16,IW,VDI-area,U-controlled,9.1,harmonised,Modelica-split,12.112388823424306,25.55883559359165,47.291448743381274,False,False,False,52.56616440640835,56.8752179232854,77.44670460531394,2.5364507166832966
F15,IW,VDI-area,U-controlled,9.1,harmonised,all-air,12.112388823424306,25.5031589033098,47.351086104175046,False,False,False,52.621841096690204,56.815580562491625,77.44074092529262,2.537289192607049
F60,no-IW,Modelica-fractions,U-controlled,8.0,harmonised,Modelica-split,12.112388823424306,34.44145845803864,32.03693574081687,False,False,False,43.68354154196136,72.1297309258498,84.32644831299227,2.546658914351903
F64,no-IW,Modelica-fractions,U-controlled,9.1,harmonised,Modelica-split,12.112388823424306,30.873736176177143,37.17802628412111,False,False,False,47.25126382382285,66.98864038254555,81.97658124885743,2.547054185718764
F44,no-IW,VDI-area,U-controlled,8.0,harmonised,Modelica-split,12.112388823424306,34.733913726368975,31.26233093421816,False,False,False,43.391086273631025,72.90433573244852,84.84001730666526,2.5542085900075633
F48,no-IW,VDI-area,U-controlled,9.1,harmonised,Modelica-split,12.112388823424306,31.00319055788569,36.53683180201713,False,False,False,47.12180944211431,67.62983486464954,82.42729820222605,2.5550468547924363
F12,IW,VDI-area,U-controlled,8.0,harmonised,Modelica-split,12.112388823424306,26.05776962191263,45.012222554698525,False,False,False,52.06723037808737,59.15444411196815,78.80510603660646,2.55656457484249
F28,IW,Modelica-fractions,U-controlled,8.0,harmonised,Modelica-split,12.112388823424306,24.66846516122314,47.77057979368686,False,False,False,53.45653483877686,56.39608687297981,77.70533914445036,2.557343385164779
F11,IW,VDI-area,U-controlled,8.0,harmonised,all-air,12.112388823424306,25.996933169349447,45.07604054956084,False,False,False,52.12806683065055,59.090626117105835,78.79744568456746,2.557437047149691
F27,IW,Modelica-fractions,U-controlled,8.0,harmonised,all-air,12.112388823424306,24.609315000103617,47.83551004737075,False,False,False,53.51568499989638,56.331156619295925,77.69895589437338,2.558242675015488
