solar_group,factorial_id,topology,source_allocation,envelope,inside_h,longwave,internal_gain,annual_solar_MWh,heating_MWh,cooling_MWh,heating_in_range,cooling_in_range,both_in_range,D_MWh_norm
modelica,F25,IW,Modelica-fractions,U-controlled,8.0,explicit-VDI,all-air,12.112388823424306,1.6712272223891653,1.8945955899914313,False,False,False,2.394976652372321
modelica,F45,no-IW,VDI-area,U-controlled,9.1,explicit-VDI,all-air,12.112388823424306,2.361874924772203,1.1309375711357417,False,False,False,2.3965932230567932
modelica,F10,IW,VDI-area,U-controlled,8.0,explicit-VDI,Modelica-split,12.112388823424306,1.7558861071147644,1.7683093585633536,False,False,False,2.3972844774380713
modelica,F09,IW,VDI-area,U-controlled,8.0,explicit-VDI,all-air,12.112388823424306,1.7526001909576343,1.771122594417181,False,False,False,2.3979605870777188
modelica,F57,no-IW,Modelica-fractions,U-controlled,8.0,explicit-VDI,all-air,12.112388823424306,2.508720806560545,0.9786813933743256,False,False,False,2.418093252356832
modelica,F62,no-IW,Modelica-fractions,U-controlled,9.1,explicit-VDI,Modelica-split,12.112388823424306,1.97426490976259,1.437899972394024,False,False,False,2.4234490478797728
modelica,F41,no-IW,VDI-area,U-controlled,8.0,explicit-VDI,all-air,12.112388823424306,2.531942496379815,0.946714515798058,False,False,False,2.4262115184178343
modelica,F46,no-IW,VDI-area,U-controlled,9.1,explicit-VDI,Modelica-split,12.112388823424306,1.983844815846528,1.4093880190567125,False,False,False,2.4313729586949684
modelica,F58,no-IW,Modelica-fractions,U-controlled,8.0,explicit-VDI,Modelica-split,12.112388823424306,2.1544559032313257,1.2211757330653066,False,False,False,2.4385741693613663
modelica,F42,no-IW,VDI-area,U-controlled,8.0,explicit-VDI,Modelica-split,12.112388823424306,2.17434309732705,1.1874191622113601,False,False,False,2.445706211588496
modelica,F63,no-IW,Modelica-fractions,U-controlled,9.1,harmonised,all-air,12.112388823424306,1.8217750982144336,1.4774323738877997,False,False,False,2.4825001730807856
modelica,F47,no-IW,VDI-area,U-controlled,9.1,harmonised,all-air,12.112388823424306,1.8303430319077463,1.448790842875785,False,False,False,2.4902839588944086
modelica,F59,no-IW,Modelica-fractions,U-controlled,8.0,harmonised,all-air,12.112388823424306,1.9786568493599288,1.270591019671305,False,False,False,2.4954132678993313
modelica,F43,no-IW,VDI-area,U-controlled,8.0,harmonised,all-air,12.112388823424306,1.9962307853213677,1.2364039322927742,False,False,False,2.5025250151794713
modelica,F32,IW,Modelica-fractions,U-controlled,9.1,harmonised,Modelica-split,12.112388823424306,1.1709303889858145,2.3950794565973417,False,False,False,2.5343263858869745
modelica,F31,IW,Modelica-fractions,U-controlled,9.1,harmonised,all-air,12.112388823424306,1.1683237718477697,2.3979770857669265,False,False,False,2.53519161483232
modelica,F16,IW,VDI-area,U-controlled,9.1,harmonised,Modelica-split,12.112388823424306,1.2268241084923992,2.2699895396823013,False,False,False,2.5364507166832957
modelica,F15,IW,VDI-area,U-controlled,9.1,harmonised,all-air,12.112388823424306,1.2241516273588704,2.272852133000402,False,False,False,2.537289192607048
modelica,F60,no-IW,Modelica-fractions,U-controlled,8.0,harmonised,Modelica-split,12.112388823424306,1.6531900059858546,1.53777291555921,False,False,False,2.5466589143519016
modelica,F64,no-IW,Modelica-fractions,U-controlled,9.1,harmonised,Modelica-split,12.112388823424306,1.4819393364565028,1.7845452616378135,False,False,False,2.547054185718763
modelica,F44,no-IW,VDI-area,U-controlled,8.0,harmonised,Modelica-split,12.112388823424306,1.667227858865711,1.5005918848424717,False,False,False,2.554208590007562
modelica,F48,no-IW,VDI-area,U-controlled,9.1,harmonised,Modelica-split,12.112388823424306,1.4881531467785132,1.7537679264968224,False,False,False,2.555046854792435
modelica,F12,IW,VDI-area,U-controlled,8.0,harmonised,Modelica-split,12.112388823424306,1.2507729418518063,2.1605866826255293,False,False,False,2.556564574842488
modelica,F28,IW,Modelica-fractions,U-controlled,8.0,harmonised,Modelica-split,12.112388823424306,1.1840863277387106,2.2929878300969695,False,False,False,2.5573433851647787
modelica,F11,IW,VDI-area,U-controlled,8.0,harmonised,all-air,12.112388823424306,1.2478527921287734,2.16364994637892,False,False,False,2.55743704714969
modelica,F27,IW,Modelica-fractions,U-controlled,8.0,harmonised,all-air,12.112388823424306,1.1812471200049737,2.2961044822737957,False,False,False,2.5582426750154865
