factorial_id,heating_MWh_modelica,heating_MWh_native_vdi,cooling_MWh_modelica,cooling_MWh_native_vdi,D_MWh_norm_modelica,D_MWh_norm_native_vdi,delta_heating_MWh,delta_cooling_MWh,delta_D_MWh_norm
F01,3.1602672243919536,3.014628633750816,2.9927950453609142,3.7139710816882894,1.1970475514767258,0.9226564139029803,-0.1456385906411377,0.7211760363273751,-0.27439113757374556
F02,3.1632042982998145,3.017490317660819,2.9896082708838825,3.7106235092304676,1.1976902275491097,0.9225468622463151,-0.14571398063899554,0.7210152383465851,-0.2751433653027946
F03,2.7129178922897874,2.576814723402907,3.5093021223863285,4.247244845661535,1.1723769010956158,1.0387270347042192,-0.13610316888688034,0.7379427232752063,-0.13364986639139653
F04,2.7156218946729154,2.579431687474543,3.505875531009509,4.243647502682232,1.172100401001555,1.0375551882411829,-0.13619020719837227,0.7377719716727231,-0.13454521276037212
F05,3.2416683117365324,3.0891782491124187,3.2443814001626885,3.9755857781534725,1.0445857796626778,0.775889950810186,-0.1524900626241137,0.731204377990784,-0.2686958288524919
F06,3.2443628178260426,3.0918003834400913,3.241389196016578,3.972447163207846,1.0452241270195515,0.7756559986185685,-0.1525624343859513,0.7310579671912683,-0.269568128400983
F07,2.7890957063845434,2.6462324141786007,3.7798915709639203,4.526302714635896,1.0270505486079722,0.9339595128455526,-0.14286329220594274,0.7464111436719754,-0.09309103576241962
F08,2.791595110081747,2.648648257717148,3.7766959396083335,4.522966512029109,1.0266419034598453,0.9325804511317641,-0.1429468523645987,0.7462705724207757,-0.09406145232808116
F09,1.7526001909576343,1.669612584861978,1.771122594417181,2.53885419851115,2.3979605870777188,2.1608941889372546,-0.08298760609565625,0.767731604093969,-0.23706639814046415
F10,1.7558861071147644,1.6727895409076567,1.7683093585633536,2.5356940588431014,2.3972844774380713,2.159949290523824,-0.0830965662071077,0.7673847002797478,-0.2373351869142475
F11,1.2478527921287734,1.1733694999405178,2.16364994637892,2.964490723636954,2.55743704714969,2.3718113184571434,-0.07448329218825567,0.8008407772580339,-0.18562572869254668
F12,1.2507729418518063,1.1761966623269233,2.1605866826255293,2.9612173951432026,2.556564574842488,2.3706215735166425,-0.074576279524883,0.8006307125176733,-0.18594300132584562
F13,1.7299081645914167,1.6497733664547858,1.8682049764914643,2.6544326739888917,2.371936293068292,2.1350397129486214,-0.08013479813663094,0.7862276974974274,-0.23689658011967074
F14,1.7329168753937525,1.6526865706703011,1.865569970883824,2.6514978785173398,2.3712830845981774,2.1341100070404533,-0.08023030472345138,0.7859279076335157,-0.2371730775577241
F15,1.2241516273588704,1.1518543665196588,2.272852133000402,3.08994100865841,2.537289192607048,2.356115124573293,-0.07229726083921162,0.8170888756580079,-0.18117406803375502
F16,1.2268241084923992,1.1544366135284612,2.2699895396823013,3.0869114142862393,2.5364507166832957,2.3549675966520405,-0.07238749496393804,0.816921874603938,-0.18148312003125522
F17,2.834490847086139,2.751136876430397,2.8266387046266064,3.6018571647539854,1.4015954531801067,1.1149866504310297,-0.08335397065574224,0.775218460127379,-0.28660880274907696
F18,2.837280601793836,2.7538711915265397,2.8233766196747925,3.5984262855684324,1.401904354345137,1.1146559409074972,-0.0834094102672962,0.7750496658936399,-0.28724841343763985
F19,2.416069392337565,2.3374967542769554,3.3532528527356016,4.145047799325545,1.4092139000105053,1.2397711705801673,-0.07857263806060955,0.7917949465899436,-0.169442729430338
F20,2.418593717644027,2.339968934071031,3.3497104220552893,4.141365243140544,1.4088733728189624,1.2386705211116689,-0.07862478357299585,0.7916548210852543,-0.17020285170729355
F21,2.9093753356885164,2.8209878661023584,3.038589071686955,3.827974478226063,1.2711640491913259,0.9902763630405452,-0.08838746958615795,0.7893854065391079,-0.28088768615078064
F22,2.91194135754657,2.8235083959823912,3.0355196560008135,3.8247760688273376,1.271459432196191,0.9898473261676959,-0.08843296156417857,0.789256412826524,-0.28161210602849507
F23,2.4856950604777888,2.402228662410358,3.585774760490118,4.388946547341428,1.2859934445041294,1.1454960521007838,-0.08346639806743061,0.8031717868513102,-0.1404973924033457
F24,2.488026071502344,2.404501239764423,3.5824740017722267,4.38550700028974,1.2855651683050755,1.14427893193563,-0.08352483173792091,0.8030329985175135,-0.1412862363694456
F25,1.6712272223891653,1.59546866027139,1.8945955899914313,2.6615930831858328,2.394976652372321,2.168202428552894,-0.07575856211777543,0.7669974931944015,-0.2267742238194268
F26,1.6744345841695776,1.5985748716164496,1.8917021831635552,2.6584093626287895,2.3942586514328057,2.1671894606542006,-0.07585971255312796,0.7667071794652343,-0.2270691907786051
F27,1.1812471200049737,1.1124895352376993,2.2961044822737957,3.09008024062187,2.5582426750154865,2.3848162557418204,-0.06875758476727434,0.7939757583480742,-0.1734264192736661
F28,1.1840863277387106,1.1152329494608915,2.2929878300969695,3.0867749226010726,2.5573433851647787,2.3836026285363006,-0.06885337827781912,0.7937870925041031,-0.1737407566284781
F29,1.6613411369211246,1.5868732300955213,1.9854956182374706,2.768746427225348,2.3658045455100547,2.139957645548191,-0.07446790682560334,0.7832508089878776,-0.2258468999618639
F30,1.6642820374204061,1.5897362090279572,1.982803309762316,2.765800973333518,2.365114323298301,2.1389634706673593,-0.07454582839244894,0.7829976635712019,-0.22615085263094192
F31,1.1683237718477697,1.1004491986476383,2.3979770857669265,3.206488010998224,2.53519161483232,2.3665785605636036,-0.06787457320013135,0.8085109252312974,-0.1686130542687163
F32,1.1709303889858145,1.1029452562876447,2.3950794565973417,3.2034205628560075,2.5343263858869745,2.3654267795151944,-0.06798513269816975,0.8083411062586658,-0.16889960637178003
F33,5.970153277128481,5.710068076481507,4.469507810388873,5.023895866827741,0.8556070588039607,0.5935512816922816,-0.2600852006469738,0.5543880564388681,-0.26205577711167916
F34,5.572789886912597,5.325224775488426,4.720118088246071,5.284311593959643,0.5056283047317465,0.28067054917758155,-0.24756511142417104,0.5641935057135719,-0.22495775555416492
F35,5.438646543918221,5.18930780958586,4.845618711161429,5.406515958795001,0.3823072664371326,0.17016895088281261,-0.24933873433236098,0.5608972476335721,-0.21213831555431997
F36,5.061489350733004,4.823417416763939,5.1092238985880485,5.678802212968258,0.06625150466097876,0.0,-0.23807193396906534,0.5695783143802098,-0.06625150466097876
F37,6.213228270158762,5.931754192148615,5.171488118325623,5.72799415954725,1.0026246098851717,0.7737838960557839,-0.281474078010147,0.5565060412216267,-0.22884071382938775
F38,5.7775700092952285,5.508332447645294,5.452023138170137,6.0162105755134885,0.6484309018660388,0.42953857532137707,-0.26923756164993407,0.5641874373433513,-0.21889232654466173
