case,metric,value,unit,occurrence_time_s,result_source,implementation,run_mode,formal_ashrae_result
660,annual_heating_energy,3.8984710048004976,MWh,,Modelica,modelica,native,True
660,annual_cooling_energy,3.1844035594915368,MWh,,Modelica,modelica,native,True
660,peak_heating_load,2.719198554752668,kW,31536000.0,Modelica,modelica,native,True
660,peak_cooling_load,3.343281107611127,kW,25106400.0,Modelica,modelica,native,True
660,annual_heating_energy,4.681826121810015,MWh,,RClib,iso13790,native,True
660,annual_cooling_energy,0.9303371599263379,MWh,,RClib,iso13790,native,True
660,peak_heating_load,2.738810749143943,kW,31536000.0,RClib,iso13790,native,True
660,peak_cooling_load,1.7856782694280624,kW,15271200.0,RClib,iso13790,native,True
660,annual_heating_energy,3.844761449906094,MWh,,RClib,iso13790,diagnostic_modelica_solar,False
660,annual_cooling_energy,3.134986128909309,MWh,,RClib,iso13790,diagnostic_modelica_solar,False
660,peak_heating_load,2.788880058787699,kW,31536000.0,RClib,iso13790,diagnostic_modelica_solar,False
660,peak_cooling_load,3.2884579972303216,kW,25106400.0,RClib,iso13790,diagnostic_modelica_solar,False
