case,metric,value,unit,occurrence_time_s,result_source,implementation,run_mode,formal_ashrae_result
620,annual_heating_energy,4.823477106182571,MWh,,Modelica,modelica,native,True
620,annual_cooling_energy,4.008999626478124,MWh,,Modelica,modelica,native,True
620,peak_heating_load,3.249153596533669,kW,31536000.0,Modelica,modelica,native,True
620,peak_cooling_load,4.38401833160162,kW,15271200.0,Modelica,modelica,native,True
620,annual_heating_energy,5.059147098439902,MWh,,RClib,iso13790,native,True
620,annual_cooling_energy,3.840018381279018,MWh,,RClib,iso13790,native,True
620,peak_heating_load,3.26201533749689,kW,31536000.0,RClib,iso13790,native,True
620,peak_cooling_load,4.484753292343651,kW,15264000.0,RClib,iso13790,native,True
620,annual_heating_energy,4.768045036836447,MWh,,RClib,iso13790,diagnostic_modelica_solar,False
620,annual_cooling_energy,3.9674156482253995,MWh,,RClib,iso13790,diagnostic_modelica_solar,False
620,peak_heating_load,3.332408091827975,kW,31536000.0,RClib,iso13790,diagnostic_modelica_solar,False
620,peak_cooling_load,4.3833253073746015,kW,15267600.0,RClib,iso13790,diagnostic_modelica_solar,False
