case,metric,value,unit,occurrence_time_s,result_source,implementation,run_mode,formal_ashrae_result,lower,upper,within_ashrae_range
695,annual_heating_energy,3.1468381425020553,MWh,,Modelica,modelica,native,True,1.7,3.81,True
695,annual_heating_energy,3.6134319715443057,MWh,,RClib,iso13790,native,True,1.7,3.81,True
695,annual_cooling_energy,9.323000084803914,MWh,,Modelica,modelica,native,True,7.49,10.58,True
695,annual_cooling_energy,3.4296141128502464,MWh,,RClib,iso13790,native,True,7.49,10.58,False
