timestamp_s,case,implementation,run_mode,formal_ashrae_result,zone_temperature_C,heating_load_W,cooling_load_W,outdoor_temperature_C,solar_gain_W
2682000.0,900,modelica,native,True,19.999908459580126,1041.647016763952,-0.0,-6.5,-101.56212
2685600.0,900,modelica,native,True,19.99991350065011,1151.010251233313,-0.0,-6.899999999999977,-101.56212
2689200.0,900,modelica,native,True,19.999917901131937,1254.539575356344,-0.0,-7.2999999999999545,-101.56212
2692800.0,900,modelica,native,True,19.99992052123423,1353.231380077336,-0.0,-7.7999999999999545,-101.56212
2696400.0,900,modelica,native,True,19.999946631084697,1434.981344172061,-0.0,-7.199999999999989,-101.56212
2700000.0,900,modelica,native,True,19.99994275460881,1508.630311611195,-0.0,-7.7999999999999545,-101.56212
2703600.0,900,modelica,native,True,20.00005402729454,1571.265962393516,-0.0,-7.199999999999989,289.7606222089636
2707200.0,900,modelica,native,True,20.000294370129097,1475.637337737679,-0.0,-6.699999999999989,2876.999132446917
2710800.0,900,modelica,native,True,20.00039915448434,1109.98366908345,-0.0,-5.0,5862.789217206628
2714400.0,900,modelica,native,True,20.00042927983725,631.7548839593596,-0.0,-3.8999999999999773,7710.576301649826
2718000.0,900,modelica,native,True,20.24668455629154,141.186029130386,-0.0,-2.1999999999999886,8881.106673272114
2721600.0,900,modelica,native,True,21.942216807774912,2.069615655475193e-05,-0.0,-0.5999999999999659,9317.07829808058
2725200.0,900,modelica,native,True,23.58030573986281,2.8014183044433592e-08,-0.0,1.1000000000000227,9142.526690194003
2728800.0,900,modelica,native,True,24.413628294513614,0.0,-0.0,-3.2999999999999545,8262.972888147255
2732400.0,900,modelica,native,True,25.019276647210233,0.0,-0.0,-3.2999999999999545,6630.710536287392
2736000.0,900,modelica,native,True,25.0018049145105,0.0,-0.0,-3.8999999999999773,4271.573592269695
2739600.0,900,modelica,native,True,24.240160328176046,0.0,-0.0,-4.399999999999977,1179.47169051276
2743200.0,900,modelica,native,True,23.02684403711561,0.0,-0.0,-6.699999999999989,-70.84516888853295
2746800.0,900,modelica,native,True,22.217309215665125,0.0,-0.0,-7.199999999999989,-101.56212
2750400.0,900,modelica,native,True,21.441424826164734,0.0,-0.0,-7.7999999999999545,-101.56212
2754000.0,900,modelica,native,True,20.617029475173013,0.0,-0.0,-8.899999999999977,-101.56212
