timestamp_s,case,implementation,run_mode,formal_ashrae_result,zone_temperature_C,heating_load_W,cooling_load_W,outdoor_temperature_C,solar_gain_W
3600.0,900,iso13790,diagnostic_modelica_solar,False,20.000000000000004,1023.3669910762037,0.0,-17.99999999999997,-101.56212
7200.0,900,iso13790,diagnostic_modelica_solar,False,20.0,1163.3598259901416,0.0,-16.599999999999966,-101.56212
10800.0,900,iso13790,diagnostic_modelica_solar,False,19.999999999999996,1285.0676798986972,0.0,-15.299999999999955,-101.56212
14400.0,900,iso13790,diagnostic_modelica_solar,False,20.000000000000007,1399.540397959226,0.0,-14.399999999999977,-101.56212
18000.0,900,iso13790,diagnostic_modelica_solar,False,20.0,1483.6140828098294,0.0,-13.0,-101.56212
21600.0,900,iso13790,diagnostic_modelica_solar,False,19.999999999999993,1536.1573619491085,0.0,-11.099999999999966,-101.56212
25200.0,900,iso13790,diagnostic_modelica_solar,False,19.999999999999986,1581.8343531201494,0.0,-9.699999999999989,-63.2869590424206
28800.0,900,iso13790,diagnostic_modelica_solar,False,20.000000000000004,1547.4222828821698,0.0,-7.699999999999989,435.4509435509658
32400.0,900,iso13790,diagnostic_modelica_solar,False,20.000000000000004,1266.0541741124312,0.0,-5.899999999999977,3030.208119684766
36000.0,900,iso13790,diagnostic_modelica_solar,False,19.999999999999993,754.7516029022479,0.0,-2.1999999999999886,5880.926280212109
39600.0,900,iso13790,diagnostic_modelica_solar,False,20.0,286.28397161158694,0.0,1.400000000000034,6759.466431397926
43200.0,900,iso13790,diagnostic_modelica_solar,False,20.150643023831112,0.0,0.0,2.8000000000000114,6482.762166739272
46800.0,900,iso13790,diagnostic_modelica_solar,False,21.128815872616883,0.0,0.0,4.400000000000034,5921.837080790887
50400.0,900,iso13790,diagnostic_modelica_solar,False,21.674168983604424,0.0,0.0,3.3000000000000114,5239.283650210687
54000.0,900,iso13790,diagnostic_modelica_solar,False,21.963765649395864,0.0,0.0,3.900000000000034,3872.167571514906
57600.0,900,iso13790,diagnostic_modelica_solar,False,21.542424899816236,0.0,0.0,2.2000000000000455,1998.070410813034
61200.0,900,iso13790,diagnostic_modelica_solar,False,20.564183652477077,0.0,0.0,-0.5999999999999659,113.7875340352002
64800.0,900,iso13790,diagnostic_modelica_solar,False,19.999999999999993,40.496604845829886,0.0,-2.1999999999999886,-101.56212
68400.0,900,iso13790,diagnostic_modelica_solar,False,20.0,270.6695187741745,0.0,-5.0,-101.56212
72000.0,900,iso13790,diagnostic_modelica_solar,False,20.000000000000004,437.3380425685588,0.0,-5.599999999999966,-101.56212
75600.0,900,iso13790,diagnostic_modelica_solar,False,20.000000000000004,591.9561273860845,0.0,-6.099999999999966,-101.56212
79200.0,900,iso13790,diagnostic_modelica_solar,False,19.999999999999996,722.9535903846028,0.0,-6.099999999999966,-101.56212
