assembly,area_m2,layer_R_m2K_W,layer_C_J_m2K,total_C_J_K
wall,63.6,1.7892857142857144,78571.79730875204,4997166.30883663
roof,48.0,2.9932142857142856,98226.0667249685,4714851.202798489
floor,48.0,25.253571428571423,105416.30184093502,5059982.488364881
