solar_group,factorial_id,topology,source_allocation,envelope,inside_h,longwave,internal_gain,annual_solar_MWh,heating_MWh,cooling_MWh,heating_in_range,cooling_in_range,both_in_range,D_MWh_norm
native_vdi,F45,no-IW,VDI-area,U-controlled,9.1,explicit-VDI,all-air,11.75195606191516,2.2518157520848328,1.764528268353527,False,False,False,2.1469739046438403
native_vdi,F10,IW,VDI-area,U-controlled,8.0,explicit-VDI,Modelica-split,11.75195606191516,1.6727895409076567,2.5356940588431014,False,False,False,2.159949290523824
native_vdi,F09,IW,VDI-area,U-controlled,8.0,explicit-VDI,all-air,11.75195606191516,1.669612584861978,2.53885419851115,False,False,False,2.1608941889372546
native_vdi,F26,IW,Modelica-fractions,U-controlled,8.0,explicit-VDI,Modelica-split,11.75195606191516,1.5985748716164496,2.6584093626287895,False,False,False,2.1671894606542006
native_vdi,F25,IW,Modelica-fractions,U-controlled,8.0,explicit-VDI,all-air,11.75195606191516,1.59546866027139,2.6615930831858328,False,False,False,2.168202428552894
native_vdi,F57,no-IW,Modelica-fractions,U-controlled,8.0,explicit-VDI,all-air,11.75195606191516,2.380435251037179,1.5675041835545926,False,False,False,2.181281215201704
native_vdi,F41,no-IW,VDI-area,U-controlled,8.0,explicit-VDI,all-air,11.75195606191516,2.403692901428312,1.5314672861616048,False,False,False,2.188720546598029
native_vdi,F62,no-IW,Modelica-fractions,U-controlled,9.1,explicit-VDI,Modelica-split,11.75195606191516,1.8768354130072669,2.1153021640248486,False,False,False,2.191816304378331
native_vdi,F46,no-IW,VDI-area,U-controlled,9.1,explicit-VDI,Modelica-split,11.75195606191516,1.8879537360567091,2.0853362740551558,False,False,False,2.1973850747433445
native_vdi,F58,no-IW,Modelica-fractions,U-controlled,8.0,explicit-VDI,Modelica-split,11.75195606191516,2.038421962646959,1.8480777718959411,False,False,False,2.214244210474956
native_vdi,F42,no-IW,VDI-area,U-controlled,8.0,explicit-VDI,Modelica-split,11.75195606191516,2.058847922795316,1.811149912342389,False,False,False,2.2196520717770647
native_vdi,F63,no-IW,Modelica-fractions,U-controlled,9.1,harmonised,all-air,11.75195606191516,1.7270466695590536,2.1550210093224615,False,False,False,2.263150211282622
native_vdi,F47,no-IW,VDI-area,U-controlled,9.1,harmonised,all-air,11.75195606191516,1.737050799100067,2.1251208421975005,False,False,False,2.2685304024829365
native_vdi,F59,no-IW,Modelica-fractions,U-controlled,8.0,harmonised,all-air,11.75195606191516,1.8668624038010886,1.8999924067440448,False,False,False,2.283329354445119
native_vdi,F43,no-IW,VDI-area,U-controlled,8.0,harmonised,all-air,11.75195606191516,1.8854429299580657,1.8626283215492256,False,False,False,2.288483605689627
native_vdi,F60,no-IW,Modelica-fractions,U-controlled,8.0,harmonised,Modelica-split,11.75195606191516,1.5551567352358446,2.2002857094980532,False,False,False,2.3504815578680223
native_vdi,F64,no-IW,Modelica-fractions,U-controlled,9.1,harmonised,Modelica-split,11.75195606191516,1.3989877132058013,2.494803686140201,False,False,False,2.351057320867609
native_vdi,F44,no-IW,VDI-area,U-controlled,8.0,harmonised,Modelica-split,11.75195606191516,1.570591373688956,2.162163324245075,False,False,False,2.3546364283371086
native_vdi,F16,IW,VDI-area,U-controlled,9.1,harmonised,Modelica-split,11.75195606191516,1.1544366135284612,3.0869114142862393,False,False,False,2.3549675966520405
native_vdi,F48,no-IW,VDI-area,U-controlled,9.1,harmonised,Modelica-split,11.75195606191516,1.406577299155357,2.4644429471995988,False,False,False,2.355763017842354
native_vdi,F15,IW,VDI-area,U-controlled,9.1,harmonised,all-air,11.75195606191516,1.1518543665196588,3.08994100865841,False,False,False,2.356115124573293
native_vdi,F32,IW,Modelica-fractions,U-controlled,9.1,harmonised,Modelica-split,11.75195606191516,1.1029452562876447,3.2034205628560075,False,False,False,2.3654267795151944
native_vdi,F31,IW,Modelica-fractions,U-controlled,9.1,harmonised,all-air,11.75195606191516,1.1004491986476383,3.206488010998224,False,False,False,2.3665785605636036
native_vdi,F12,IW,VDI-area,U-controlled,8.0,harmonised,Modelica-split,11.75195606191516,1.1761966623269233,2.9612173951432026,False,False,False,2.3706215735166425
native_vdi,F11,IW,VDI-area,U-controlled,8.0,harmonised,all-air,11.75195606191516,1.1733694999405178,2.964490723636954,False,False,False,2.3718113184571434
native_vdi,F28,IW,Modelica-fractions,U-controlled,8.0,harmonised,Modelica-split,11.75195606191516,1.1152329494608915,3.0867749226010726,False,False,False,2.3836026285363006
native_vdi,F27,IW,Modelica-fractions,U-controlled,8.0,harmonised,all-air,11.75195606191516,1.1124895352376993,3.09008024062187,False,False,False,2.3848162557418204
